	locus_name	symbol	full_name
6092	AT1G71790	CPB	capping protein B
6093	AT1G71800	CSTF64	cleavage stimulating factor 64
6094	AT1G71820	SEC6	NULL
6095	AT1G71830	ATSERK1	SOMATIC EMBRYOGENESIS RECEPTOR-LIKE KINASE 1
6096	AT1G71830	SERK1	somatic embryogenesis receptor-like kinase 1
6097	AT1G71860	ATPTP1	NULL
6098	AT1G71860	PTP1	protein tyrosine phosphatase 1
6099	AT1G71866	EPFL7	epidermal patterning factor like 7
6100	AT1G71870	bige1a	NULL
6101	AT1G71870	MATE45	Multidrug And Toxic compound Extrusion 45
6102	AT1G71880	ATSUC1	ARABIDOPSIS THALIANA SUCROSE-PROTON SYMPORTER 1
6103	AT1G71880	SUC1	sucrose-proton symporter 1
6104	AT1G71890	ATSUC5	SUCROSE-PROTON SYMPORTER 5
6105	AT1G71890	SUC5	NULL
6106	AT1G71900	ENOR3L4	NULL
6107	AT1G71920	HISN6B	HISTIDINE BIOSYNTHESIS 6B
6108	AT1G71930	ANAC030	Arabidopsis NAC domain containing protein 30
6109	AT1G71930	VND7	vascular related NAC-domain protein 7
6110	AT1G71950	SPI-1	Subtilisin Propeptide-Like Inhibitor 1
6111	AT1G71960	ABCG25	ATP-binding casette G25
6112	AT1G71960	ATABCG25	Arabidopsis thaliana ATP-binding cassette G25
6113	AT1G71980	RMR2	NULL
6114	AT1G71990	ATFT4	ARABIDOPSIS FUCOSYLTRANSFERASE 4
6115	AT1G71990	ATFUT13	NULL
6116	AT1G71990	FT4-M	NULL
6117	AT1G71990	FUCTC	NULL
6118	AT1G71990	FUT13	fucosyltransferase 13
6119	AT1G72000	A/N-InvF	alkaline/neutral invertase F
6120	AT1G72010	AtTCP22	NULL
6121	AT1G72010	TCP22	TCP domain protein 22
6122	AT1G72030	GNAT10	GCN5&8208;related N&8208;acetyltransferase 10
6123	AT1G72030	SNAT6	NULL
6124	AT1G72040	AtdNK	NULL
6125	AT1G72040	dNK	deoxyribonucleoside kinase
6126	AT1G72050	TFIIIA	transcription factor IIIA
6127	AT1G72120	AtNPF5.14	NULL
6128	AT1G72120	NPF5.14	NRT1/ PTR family 5.14
6129	AT1G72125	AtNPF5.13	NULL
6130	AT1G72125	NPF5.13	NRT1/ PTR family 5.13
6131	AT1G72130	NPF5.11	NULL
6132	AT1G72140	NPF5.12	NULL
6133	AT1G72140	TOB1	TRANSPORTER OF IBA1
6134	AT1G72150	PATL1	PATELLIN 1
6135	AT1G72160	PATL3	NULL
6136	AT1G72180	CEPR2	C-terminally encoded peptide receptor 2
6137	AT1G72200	ATL11	Arabidopsis Toxicos en Levadura 11
6138	AT1G72210	bHLH096	NULL
6139	AT1G72210	bHLH96	NULL
6140	AT1G72220	ATL54	Arabidopsis Tóxicos en Levadura 54
6141	AT1G72250	MDKIN1	MALECTIN DOMAIN KINESIN 1
6142	AT1G72260	THI2.1	thionin 2.1
6143	AT1G72260	THI2.1.1	NULL
6144	AT1G72270	HDP1	Harbinger transposon-derived protein 1
6145	AT1G72270	IDAP1	IDM1-associated protein 1
6146	AT1G72280	AERO1	endoplasmic reticulum oxidoreductins 1
6147	AT1G72280	ERO1	endoplasmic reticulum oxidoreductins 1
6148	AT1G72290	AtWSCP	Water-soluble chlorophyll protein
6149	AT1G72290	Kunitz-PI;1	Kunitz-protease inhibitor 1
6150	AT1G72300	PSY1R	PSY1 receptor
6151	AT1G72310	ATL3	NULL
6152	AT1G72320	APUM23	pumilio 23
6153	AT1G72320	PUM23	pumilio 23
6154	AT1G72330	ALAAT2	alanine aminotransferase 2
6155	AT1G72350	AGL60	agamous-like 60
6156	AT1G72360	AtERF73	NULL
6157	AT1G72360	ERF73	ethylene response factor 73
6158	AT1G72360	HRE1	HYPOXIA RESPONSIVE ERF (ETHYLENE RESPONSE FACTOR) 1
6159	AT1G72370	AP40	NULL
6160	AT1G72370	P40	40s ribosomal protein SA
6161	AT1G72370	RP40	NULL
6162	AT1G72370	RPSAA	NULL
6163	AT1G72370	uS2z	Ribosomal Protein uS2z
6164	AT1G72390	PHL	PHYTOCHROME-DEPENDENT LATE-FLOWERING
6165	AT1G72430	SAUR78	SMALL AUXIN UPREGULATED RNA 78
6166	AT1G72440	EDA25	embryo sac development arrest 25
6167	AT1G72440	SWA2	SLOW WALKER2
6168	AT1G72450	JAZ6	jasmonate-zim-domain protein 6
6169	AT1G72450	TIFY11B	TIFY DOMAIN PROTEIN 11B
6170	AT1G72460	PRK8	NULL
6171	AT1G72470	ATEXO70D1	exocyst subunit exo70 family protein D1
6172	AT1G72470	EXO70D1	exocyst subunit exo70 family protein D1
6173	AT1G72490	AtNGR2	NULL
6174	AT1G72490	DRO1	DEEPER ROOTING 1
6175	AT1G72490	LAZY4	NULL
6176	AT1G72520	ATLOX4	Arabidopsis thaliana lipoxygenase 4
6177	AT1G72520	LOX4	lipoxygenase 4
