	Rep	Medium	Microbes	Carbon	Carbon2	Rep	Time	Area	Length
369	R1	MS	F16	OM.Glucose	Glucose	19	72h	0.149	1.566
370	R1	MS	F16	OM.Glucose	Glucose	20	72h	0.163	1.64
371	R1	MS	F16	OM.Glucose	Glucose	21	72h	0.163	1.731
372	R1	MS	F16	OM.Glucose	Glucose	22	72h	0.121	1.263
373	R1	MS	F16	OM.Glucose	Glucose	23	72h	0.227	2.422
374	R1	MS	F16	OM.Glucose	Glucose	24	72h	0.114	1.251
375	R1	MS	F16	OM.Glucose	Glucose	25	72h	0.156	1.618
376	R1	MS	F16	OM.Glucose	Glucose	26	72h	0.156	1.754
377	R1	MS	F16	OM.Glucose	Glucose	27	72h	0.149	1.528
378	R1	MS	F16	OM.Glucose	Glucose	28	72h	0.163	1.938
379	R1	MS	F16	OM.Glucose	Glucose	29	72h	0.156	1.807
380	R1	MS	F16	OM.Glucose	Glucose	30	72h	0.163	1.872
381	R1	MS	F16	OM.Glucose	Glucose	31	72h	0.128	1.507
382	R1	MS	F16	OM.Glucose	Glucose	32	72h	0.114	1.301
383	R1	MS	F16	OM.Glucose	Glucose	33	72h	0.114	1.306
384	R1	MS	F16	OM.Glucose	Glucose	34	72h	0.128	1.506
385	R1	MS	F16	OM.Glucose	Glucose	35	72h	0.163	1.838
386	R1	MS	F16	OM.Glucose	Glucose	36	72h	0.107	1.244
387	R1	MS	F16	OM.Glucose	Glucose	37	72h	0.085	0.993
